timestamp,pm2_5,pm10,co,no2,so2,o3,dust,aod
2023-01-01T00:00,80.8,120.1,2987.0,51.3,88.2,56.0,0.0,1.14
2023-01-01T01:00,86.4,128.1,2990.0,52.1,99.6,53.0,0.0,1.26
2023-01-01T02:00,96.9,143.4,2876.0,52.8,109.2,50.0,0.0,1.18
2023-01-01T03:00,79.6,118.5,2660.0,52.2,107.4,50.0,0.0,1.14
2023-01-01T04:00,70.3,105.0,2358.0,51.2,100.9,50.0,0.0,1.06
2023-01-01T05:00,60.5,89.9,1387.0,49.7,60.3,47.0,0.0,1.0
2023-01-01T06:00,73.6,108.0,1261.0,53.5,63.2,47.0,0.0,1.02
2023-01-01T07:00,65.0,96.2,1082.0,59.0,67.4,46.0,1.0,1.07
2023-01-01T08:00,40.3,61.2,863.0,63.2,72.1,49.0,1.0,1.13
2023-01-01T09:00,39.8,60.8,749.0,61.1,74.1,56.0,1.0,1.2
2023-01-01T10:00,40.0,61.2,655.0,56.5,75.3,66.0,1.0,1.16
2023-01-01T11:00,41.2,63.1,559.0,50.5,74.3,77.0,1.0,1.13
2023-01-01T12:00,41.8,64.0,506.0,47.2,69.8,82.0,1.0,1.09
2023-01-01T13:00,41.9,64.7,471.0,44.0,63.0,85.0,1.0,1.07
2023-01-01T14:00,41.4,64.3,460.0,43.2,56.7,85.0,1.0,1.1
2023-01-01T15:00,42.4,66.4,453.0,47.8,56.3,79.0,1.0,1.16
2023-01-01T16:00,44.8,70.8,461.0,55.0,58.2,69.0,1.0,1.17
2023-01-01T17:00,41.7,65.4,619.0,58.8,64.2,56.0,1.0,0.96
2023-01-01T18:00,55.6,86.1,1215.0,56.9,73.8,56.0,1.0,1.03
2023-01-01T19:00,75.9,115.7,2063.0,54.2,87.6,56.0,1.0,1.09
2023-01-01T20:00,89.2,135.0,3029.0,51.1,106.2,57.0,1.0,1.13
2023-01-01T21:00,107.8,162.1,3421.0,49.8,119.4,58.0,1.0,1.17
2023-01-01T22:00,98.5,149.0,3664.0,48.9,132.8,59.0,1.0,1.21
2023-01-01T23:00,111.3,166.7,3855.0,48.5,145.5,59.0,1.0,1.26
2023-01-02T00:00,116.9,174.2,3931.0,49.0,149.1,56.0,1.0,1.27
2023-01-02T01:00,120.6,179.3,3929.0,50.1,149.0,51.0,1.0,1.22
2023-01-02T02:00,120.6,179.3,3795.0,51.2,144.4,46.0,1.0,1.26
2023-01-02T03:00,119.0,176.5,3579.0,51.3,137.6,45.0,1.0,1.23
2023-01-02T04:00,114.1,169.5,3273.0,51.0,128.0,45.0,1.0,1.26
2023-01-02T05:00,117.1,174.6,3717.0,66.3,136.2,34.0,1.0,1.26
2023-01-02T06:00,106.6,160.2,3139.0,64.8,125.8,37.0,1.0,1.3
2023-01-02T07:00,87.1,133.2,2315.0,62.7,110.8,41.0,1.0,1.33
2023-01-02T08:00,61.5,98.0,1372.0,58.3,91.4,48.0,1.0,1.38
2023-01-02T09:00,50.4,82.4,984.0,53.3,79.7,57.0,1.0,1.26
2023-01-02T10:00,50.1,81.7,738.0,47.2,68.8,67.0,2.0,1.19
2023-01-02T11:00,47.3,77.1,522.0,39.9,56.7,79.0,2.0,1.1
2023-01-02T12:00,44.9,73.6,420.0,35.0,49.3,86.0,2.0,1.07
2023-01-02T13:00,42.0,69.6,387.0,30.6,43.5,92.0,2.0,1.05
2023-01-02T14:00,38.8,64.7,392.0,29.2,38.8,93.0,2.0,1.04
2023-01-02T15:00,34.9,59.1,374.0,34.3,37.5,84.0,2.0,0.98
2023-01-02T16:00,32.0,54.9,373.0,43.1,38.2,70.0,3.0,0.93
2023-01-02T17:00,37.3,62.6,551.0,53.6,44.7,52.0,3.0,0.98
2023-01-02T18:00,56.5,90.3,1117.0,54.9,54.3,49.0,3.0,0.99
2023-01-02T19:00,70.3,109.7,1923.0,56.8,68.2,44.0,3.0,0.96
2023-01-02T20:00,78.5,121.1,2803.0,59.5,84.2,38.0,3.0,1.06
2023-01-02T21:00,80.1,123.4,3109.0,61.6,91.3,33.0,3.0,1.16
2023-01-02T22:00,89.2,135.5,3249.0,63.9,96.3,29.0,3.0,1.21
2023-01-02T23:00,90.1,136.9,3269.0,65.9,99.6,24.0,3.0,1.21
2023-01-03T00:00,88.9,135.0,3159.0,65.9,98.8,22.0,3.0,1.2
2023-01-03T01:00,88.2,134.1,2939.0,65.1,95.7,22.0,3.0,1.13
2023-01-03T02:00,87.3,132.7,2621.0,64.1,89.8,22.0,3.0,1.08
2023-01-03T03:00,85.0,129.5,2407.0,63.6,84.2,22.0,3.0,1.07
2023-01-03T04:00,81.5,124.8,2185.0,63.2,77.6,22.0,3.0,1.04
